Nome Parlamentar	Partido	UF	Titular/Suplente/Efetivado	Endereço	Anexo	Endereço (continuação)	Gabinete	Endereço (complemento)	Telefone	Fax	Mês Aniversário	Dia Aniversário	Correio Eletrônico	Nome sem Acento	Tratamento	Profissões	Nome Civil
AGUINALDO RIBEIRO	PP	PB	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	735	Brasília - DF - CEP 70160-900	3215-5735	3215-2735	02	13	dep.aguinaldoribeiro@camara.leg.br	AGUINALDO RIBEIRO	Exmo. Senhor Deputado	Administrador	AGUINALDO VELLOSO BORGES RIBEIRO
ALAN RICK	PRB	AC	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	650	Brasília - DF - CEP 70160-900	3215-5650	3215-2650	10	23	dep.alanrick@camara.leg.br	ALAN RICK	Exmo. Senhor Deputado	Administrador de Empresas,jornalista	ALAN RICK MIRANDA
ALBERTO FILHO	PMDB	MA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	350	Brasília - DF - CEP 70160-900	3215-5350	3215-2350	02	10	dep.albertofilho@camara.leg.br	ALBERTO FILHO	Exmo. Senhor Deputado	Bacharel Em Direito	JOSÉ ALBERTO OLIVEIRA VELOSO FILHO
ALBERTO FRAGA	DEM	DF	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	511	Brasília - DF - CEP 70160-900	3215-5511	3215-2511	06	02	dep.albertofraga@camara.leg.br	ALBERTO FRAGA	Exmo. Senhor Deputado	Militar	JOÃO ALBERTO FRAGA SILVA
ALCEU MOREIRA	PMDB	RS	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	238	Brasília - DF - CEP 70160-900	3215-5238	3215-2238	06	04	dep.alceumoreira@camara.leg.br	ALCEU MOREIRA	Exmo. Senhor Deputado	Comerciante	ALCEU MOREIRA DA SILVA
ALESSANDRO MOLON	REDE	RJ	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	652	Brasília - DF - CEP 70160-900	3215-5652	3215-2652	10	28	dep.alessandromolon@camara.leg.br	ALESSANDRO MOLON	Exmo. Senhor Deputado	Advogado, Professor Universitário	ALESSANDRO LUCCIOLA MOLON
ALEX CANZIANI	PTB	PR	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	842	Brasília - DF - CEP 70160-900	3215-5842	3215-2842	06	11	dep.alexcanziani@camara.leg.br	ALEX CANZIANI	Exmo. Senhor Deputado	Registrador de Imóveis	ALEX CANZIANI SILVEIRA
ALEX MANENTE	PPS	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	245	Brasília - DF - CEP 70160-900	3215-5245	3215-2245	08	22	dep.alexmanente@camara.leg.br	ALEX MANENTE	Exmo. Senhor Deputado	Bacharel  Em Direito	ALEX SPINELLI MANENTE
ALEXANDRE BALDY	PSDB	GO	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	441	Brasília - DF - CEP 70160-900	3215-5441	3215-2441	07	21	dep.alexandrebaldy@camara.leg.br	ALEXANDRE BALDY	Exmo. Senhor Deputado		ALEXANDRE BALDY DE SANT'ANNA BRAGA
ALEXANDRE LEITE	DEM	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	841	Brasília - DF - CEP 70160-900	3215-5841	3215-2841	04	18	dep.alexandreleite@camara.leg.br	ALEXANDRE LEITE	Exmo. Senhor Deputado	Empresário	ALEXANDRE LEITE DA SILVA
ALEXANDRE SERFIOTIS	PSD	RJ	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	554	Brasília - DF - CEP 70160-900	3215-5554	3215-2554	11	29	dep.alexandreserfiotis@camara.leg.br	ALEXANDRE SERFIOTIS	Exmo. Senhor Deputado	Médico(a)	ALEXANDRE AUGUSTUS SERFIOTIS
ALEXANDRE VALLE	PMB	RJ	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	587	Brasília - DF - CEP 70160-900	3215-5587	32152587	04	07	dep.alexandrevalle@camara.leg.br	ALEXANDRE VALLE	Exmo. Senhor Deputado		ALEXANDRE VALLE CARDOSO
ALFREDO KAEFER	PSDB	PR	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	818	Brasília - DF - CEP 70160-900	3215-5818	3215-2818	11	07	dep.alfredokaefer@camara.leg.br	ALFREDO KAEFER	Exmo. Senhor Deputado	Industrial	JACOB ALFREDO STOFFELS KAEFER
ALFREDO NASCIMENTO	PR	AM	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	401	Brasília - DF - CEP 70160-900	3215-5401	3215-2401	05	05	dep.alfredonascimento@camara.leg.br	ALFREDO NASCIMENTO	Exmo. Senhor Deputado		ALFREDO PEREIRA DO NASCIMENTO
ALICE PORTUGAL	PCdoB	BA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	420	Brasília - DF - CEP 70160-900	3215-5420	3215-2420	05	16	dep.aliceportugal@camara.leg.br	ALICE PORTUGAL	Exma. Senhora Deputada	Química Industrial e Farmacêutica Bioquímica	ALICE MAZZUCO PORTUGAL
ALIEL MACHADO	REDE	PR	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	480	Brasília - DF - CEP 70160-900	3215-5480	3215-2480	02	26	dep.alielmachado@camara.leg.br	ALIEL MACHADO	Exmo. Senhor Deputado		ALIEL MACHADO BARK
ALTINEU CÔRTES	PR	RJ	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	578	Brasília - DF - CEP 70160-900	3215-5578	3215-2578	09	13	dep.altineucortes@camara.leg.br	ALTINEU CORTES	Exmo. Senhor Deputado	Empresário	ALTINEU CÔRTES FREITAS COUTINHO
ALUISIO MENDES	PMB	MA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	931	Brasília - DF - CEP 70160-900	3215-5931	3215-2931	11	11	dep.aluisiomendes@camara.leg.br	ALUISIO MENDES	Exmo. Senhor Deputado	Funcionário Público Federal	ALUISIO GUIMARAES MENDES FILHO
ANA PERUGINI	PT	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	436	Brasília - DF - CEP 70160-900	3215-5436	3215-2436	08	22	dep.anaperugini@camara.leg.br	ANA PERUGINI	Exma. Senhora Deputada	Advogada	ANA LUCIA LIPPAUS PERUGINI
ANDERSON FERREIRA	PR	PE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	450	Brasília - DF - CEP 70160-900	3215-5450	3215-2450	12	10	dep.andersonferreira@camara.leg.br	ANDERSON FERREIRA	Exmo. Senhor Deputado		ANDERSON FERREIRA RODRIGUES
ANDRÉ ABDON	PRB	AP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	831	Brasília - DF - CEP 70160-900	3215-5831	3215-2831	11	10	dep.andreabdon@camara.leg.br	ANDRE ABDON	Exmo. Senhor Deputado	Engenheiro Florestal	ANDRE DOS SANTOS ABDON
ANDRÉ FUFUCA	PEN	MA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	945	Brasília - DF - CEP 70160-900	3215-5945	3215-2945	08	27	dep.andrefufuca@camara.leg.br	ANDRE FUFUCA	Exmo. Senhor Deputado	Médico(a)	ANDRE LUIS CARVALHO RIBEIRO
ANDRE MOURA	PSC	SE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	846	Brasília - DF - CEP 70160-900	3215-5846	3215-2846	02	23	dep.andremoura@camara.leg.br	ANDRE MOURA	Exmo. Senhor Deputado	Político	ANDRÉ LUIS DANTAS FERREIRA
ANDRES SANCHEZ	PT	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	939	Brasília - DF - CEP 70160-900	3215-5939	3215-2939	12	24	dep.andressanchez@camara.leg.br	ANDRES SANCHEZ	Exmo. Senhor Deputado	Administrador	ANDRES NAVARRO SANCHEZ
ANGELA ALBINO	PCdoB	SC	S	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	609	Brasília - DF - CEP 70160-900	3215-5609	3215-2609	08	28	dep.angelaalbino@camara.leg.br	ANGELA ALBINO	Exma. Senhora Deputada		ANGELA ALBINO
ANGELIM	PT	AC	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	543	Brasília - DF - CEP 70160-900	3215-5543	3215-2543	02	19	dep.angelim@camara.leg.br	ANGELIM	Exmo. Senhor Deputado	Economista	RAIMUNDO ANGELIM VASCONCELOS
ANÍBAL GOMES	PMDB	CE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	731	Brasília - DF - CEP 70160-900	3215-5731	3215-2731	06	07	dep.anibalgomes@camara.leg.br	ANIBAL GOMES	Exmo. Senhor Deputado	Cirurgião-dentista e Agropecuarista	ANÍBAL FERREIRA GOMES
ANTONIO BRITO	PTB	BA	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	479	Brasília - DF - CEP 70160-900	3215-5479	3215-2479	01	17	dep.antoniobrito@camara.leg.br	ANTONIO BRITO	Exmo. Senhor Deputado	Administrador de Empresas	ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO
ANTONIO BULHÕES	PRB	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	327	Brasília - DF - CEP 70160-900	3215-5327	3215-2327	05	05	dep.antoniobulhoes@camara.leg.br	ANTONIO BULHOES	Exmo. Senhor Deputado	Apresentador de Televisão, Administrador, Teólogo e Bispo Evangélico	ANTONIO CARLOS MARTINS DE BULHÕES
ANTONIO CARLOS MENDES THAME	PSDB	SP	S	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	915	Brasília - DF - CEP 70160-900	3215-5915	3215-2915	06	13	dep.antoniocarlosmendesthame@camara.leg.br	ANTONIO CARLOS MENDES THAME	Exmo. Senhor Deputado	Professor Universitário.	ANTONIO CARLOS DE MENDES THAME
ANTONIO IMBASSAHY	PSDB	BA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	810	Brasília - DF - CEP 70160-900	3215-5810	3215-2810	03	12	dep.antonioimbassahy@camara.leg.br	ANTONIO IMBASSAHY	Exmo. Senhor Deputado	Engenheiro Eletricista	ANTONIO JOSÉ IMBASSAHY DA SILVA
ANTÔNIO JÁCOME	PMN	RN	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	230	Brasília - DF - CEP 70160-900	3215-5230	3215-2230	05	26	dep.antoniojacome@camara.leg.br	ANTONIO JACOME	Exmo. Senhor Deputado	Advogado(a),médico(a),teólogo	ANTONIO JACOME DE LIMA JUNIOR
ARIOSTO HOLANDA	PROS	CE	S	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	940	Brasília - DF - CEP 70160-900	3215-5940	3215-2940	10	11	dep.ariostoholanda@camara.leg.br	ARIOSTO HOLANDA	Exmo. Senhor Deputado	Professor Universitário e Engenheiro Civil	FRANCISCO ARIOSTO HOLANDA
ARLINDO CHINAGLIA	PT	SP	T	Câmara dos Deputados, Edifício Anexo	1	, gabinete nº	4	Brasília - DF - CEP 70160-900	3215-5966	32152966	12	24	dep.arlindochinaglia@camara.leg.br	ARLINDO CHINAGLIA	Exmo. Senhor Deputado	Médico	ARLINDO CHIGNALIA JUNIOR
ARNALDO FARIA DE SÁ	PTB	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	929	Brasília - DF - CEP 70160-900	3215-5929	3215-2929	12	30	dep.arnaldofariadesa@camara.leg.br	ARNALDO FARIA DE SA	Exmo. Senhor Deputado	Contabilista, Radialista, Professor e Advogado	ARNALDO FARIA DE SÁ
ARNALDO JORDY	PPS	PA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	506	Brasília - DF - CEP 70160-900	3215-5506	3215-2506	11	30	dep.arnaldojordy@camara.leg.br	ARNALDO JORDY	Exmo. Senhor Deputado	Político	ARNALDO JORDY FIGUEIREDO
ARNON BEZERRA	PTB	CE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	413	Brasília - DF - CEP 70160-900	3215-5413	3215-2413	08	13	dep.arnonbezerra@camara.leg.br	ARNON BEZERRA	Exmo. Senhor Deputado	Médico	JOSÉ ARNON CRUZ BEZERRA DE MENEZES
ARTHUR LIRA	PP	AL	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	942	Brasília - DF - CEP 70160-900	3215-5942	3215-2942	06	25	dep.arthurlira@camara.leg.br	ARTHUR LIRA	Exmo. Senhor Deputado	Agropecuarista, Bacharel Em Direito, Empresário	ARTHUR CÉSAR PEREIRA DE LIRA
ARTHUR OLIVEIRA MAIA	SD	BA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	830	Brasília - DF - CEP 70160-900	3215-5830	3215-2830	08	17	dep.arthuroliveiramaia@camara.leg.br	ARTHUR OLIVEIRA MAIA	Exmo. Senhor Deputado	Advogado	ARTHUR DE OLIVEIRA MAIA DA SILVA
ARTHUR VIRGÍLIO BISNETO	PSDB	AM	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	583	Brasília - DF - CEP 70160-900	3215-5583	3215-2583	10	01	dep.arthurvirgiliobisneto@camara.leg.br	ARTHUR VIRGILIO BISNETO	Exmo. Senhor Deputado	Político	ARTHUR VIRGILIO DO CARMO RIBEIRO BISNETO
ASSIS CARVALHO	PT	PI	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	909	Brasília - DF - CEP 70160-900	3215-5909	3215-2909	09	09	dep.assiscarvalho@camara.leg.br	ASSIS CARVALHO	Exmo. Senhor Deputado	Funcionário Público Federal	FRANCISCO DE ASSIS CARVALHO GONÇALVES
ASSIS DO COUTO	PMB	PR	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	428	Brasília - DF - CEP 70160-900	3215-5428	3215-2428	10	17	dep.assisdocouto@camara.leg.br	ASSIS DO COUTO	Exmo. Senhor Deputado	Agricultor	ASSIS MIGUEL DO COUTO
ATILA A. NUNES	PSL	RJ	S	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	210	Brasília - DF - CEP 70160-900	3215-5210	3215-2210	06	24	dep.atilaa.nunes@camara.leg.br	ATILA A. NUNES	Exmo. Senhor Deputado		ATILA ALEXANDRE NUNES PEREIRA
ÁTILA LINS	PSD	AM	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	730	Brasília - DF - CEP 70160-900	3215-5730	3215-2730	11	22	dep.atilalins@camara.leg.br	ATILA LINS	Exmo. Senhor Deputado	Bacharel Em Direito, Graduado Pela Universidade Federal do Amazonas Em 1.976; Advogado Com Inscrição Na Oab/am Nº 1.000 ; Bacharel Em Economia, Graduado Pela Universidade Federal do Amazonas Em 1.986; Auditor Concursado do Tce/am, 1.977	ÁTILA SIDNEY LINS ALBUQUERQUE
ÁTILA LIRA	PSB	PI	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	640	Brasília - DF - CEP 70160-900	3215-5640	3215-2640	04	07	dep.atilalira@camara.leg.br	ATILA LIRA	Exmo. Senhor Deputado	Administrador de Empresas e Economista	ÁTILA FREITAS LIRA
AUGUSTO CARVALHO	SD	DF	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	215	Brasília - DF - CEP 70160-900	3215-5215	3215-2215	07	27	dep.augustocarvalho@camara.leg.br	AUGUSTO CARVALHO	Exmo. Senhor Deputado		AUGUSTO SILVEIRA DE CARVALHO
AUGUSTO COUTINHO	SD	PE	S	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	373	Brasília - DF - CEP 70160-900	3215-5373	3215-2373	10	22	dep.augustocoutinho@camara.leg.br	AUGUSTO COUTINHO	Exmo. Senhor Deputado	Engenheiro Civil	AUGUSTO RODRIGUES COUTINHO DE MELO
AUREO	SD	RJ	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	212	Brasília - DF - CEP 70160-900	3215-5212	3215-2212	02	17	dep.aureo@camara.leg.br	AUREO	Exmo. Senhor Deputado	Empresário	AUREO LIDIO MOREIRA RIBEIRO
BACELAR	PTN	BA	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	381	Brasília - DF - CEP 70160-900	3215-5381	3215-2381	07	09	dep.bacelar@camara.leg.br	BACELAR	Exmo. Senhor Deputado	Administrador	JOAO CARLOS BACELAR BATISTA
BALEIA ROSSI	PMDB	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	829	Brasília - DF - CEP 70160-900	3215-5829	3215-2829	06	09	dep.baleiarossi@camara.leg.br	BALEIA ROSSI	Exmo. Senhor Deputado	Empresário	LUIZ FELIPE BALEIA TENUTO ROSSI
BEBETO	PSB	BA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	541	Brasília - DF - CEP 70160-900	3215-5541	3215-2541	06	09	dep.bebeto@camara.leg.br	BEBETO	Exmo. Senhor Deputado		ADALBERTO SOUZA GALVÃO
BENEDITA DA SILVA	PT	RJ	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	330	Brasília - DF - CEP 70160-900	3215-5330	3215-2330	04	26	dep.beneditadasilva@camara.leg.br	BENEDITA DA SILVA	Exma. Senhora Deputada	Assistente Social, Auxiliar de Enfermagem, Professor, Servidor Público	BENEDITA SOUZA DA SILVA SAMPAIO
BENITO GAMA	PTB	BA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	414	Brasília - DF - CEP 70160-900	3215-5414	3215-2414	08	29	dep.benitogama@camara.leg.br	BENITO GAMA	Exmo. Senhor Deputado	Economista,professor(a)	BENITO DA GAMA SANTOS
BENJAMIN MARANHÃO	SD	PB	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	458	Brasília - DF - CEP 70160-900	3215-5458	3215-2458	11	30	dep.benjaminmaranhao@camara.leg.br	BENJAMIN MARANHAO	Exmo. Senhor Deputado	Cirurgião-dentista	BENJAMIN GOMES MARANHÃO NETO
BETINHO GOMES	PSDB	PE	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	269	Brasília - DF - CEP 70160-900	3215-5269	32152269	04	27	dep.betinhogomes@camara.leg.br	BETINHO GOMES	Exmo. Senhor Deputado	Engenheiro Agrônomo	HEBERTE LAMARCK GOMES DA SILVA
BETO FARO	PT	PA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	723	Brasília - DF - CEP 70160-900	3215-5723	3215-2723	06	20	dep.betofaro@camara.leg.br	BETO FARO	Exmo. Senhor Deputado	Agricultor Familiar	JOSÉ ROBERTO OLIVEIRA FARO
BETO MANSUR	PRB	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	616	Brasília - DF - CEP 70160-900	3215-5616	3215-2616	07	07	dep.betomansur@camara.leg.br	BETO MANSUR	Exmo. Senhor Deputado	Radialista, Empresário e Engenheiro Eletrônico	PAULO ROBERTO GOMES MANSUR
BETO ROSADO	PP	RN	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	840	Brasília - DF - CEP 70160-900	3215-5840	3215-2840	02	01	dep.betorosado@camara.leg.br	BETO ROSADO	Exmo. Senhor Deputado	Agrônomo	CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO
BETO SALAME	PROS	PA	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	473	Brasília - DF - CEP 70160-900	3215-5473	3215-2473	02	12	dep.betosalame@camara.leg.br	BETO SALAME	Exmo. Senhor Deputado		ROBERTO SALAME FILHO
BILAC PINTO	PR	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	806	Brasília - DF - CEP 70160-900	3215-5806	3215-2806	06	08	dep.bilacpinto@camara.leg.br	BILAC PINTO	Exmo. Senhor Deputado	Advogado	OLAVO BILAC PINTO NETO
BOHN GASS	PT	RS	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	469	Brasília - DF - CEP 70160-900	3215-5469	3215-2469	02	05	dep.bohngass@camara.leg.br	BOHN GASS	Exmo. Senhor Deputado	Agricultor Familiar, Professor de História	ELVINO JOSÉ BOHN GASS
BONIFÁCIO DE ANDRADA	PSDB	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	208	Brasília - DF - CEP 70160-900	3215-5208	3215-2208	05	14	dep.bonifaciodeandrada@camara.leg.br	BONIFACIO DE ANDRADA	Exmo. Senhor Deputado	Advogado e Professor Universitário	BONIFÁCIO JOSÉ TAMM DE ANDRADA
BRUNA FURLAN	PSDB	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	836	Brasília - DF - CEP 70160-900	3215-5836	3215-2836	04	28	dep.brunafurlan@camara.leg.br	BRUNA FURLAN	Exma. Senhora Deputada		BRUNA DIAS FURLAN
BRUNNY	PMB	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	260	Brasília - DF - CEP 70160-900	3215-5260	3215-2260	08	21	dep.brunny@camara.leg.br	BRUNNY	Exma. Senhora Deputada		BRUNIELE FERREIRA GOMES
BRUNO ARAÚJO	PSDB	PE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	718	Brasília - DF - CEP 70160-900	3215-5718	3215-2718	03	15	dep.brunoaraujo@camara.leg.br	BRUNO ARAUJO	Exmo. Senhor Deputado	Advogado	BRUNO CAVALCANTI DE ARAÚJO
BRUNO COVAS	PSDB	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	521	Brasília - DF - CEP 70160-900	3215-5521	3215-2521	04	07	dep.brunocovas@camara.leg.br	BRUNO COVAS	Exmo. Senhor Deputado	Advogado(a),economista	BRUNO COVAS LOPES
CABO DACIOLO	S.PART.	RJ	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	803	Brasília - DF - CEP 70160-900	3215-5803	3215-2803	03	30	dep.cabodaciolo@camara.leg.br	CABO DACIOLO	Exmo. Senhor Deputado	Militar	BENEVENUTO DACIOLO FONSECA DOS SANTOS
CABO SABINO	PR	CE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	617	Brasília - DF - CEP 70160-900	3215-5617	3215-2617	02	16	dep.cabosabino@camara.leg.br	CABO SABINO	Exmo. Senhor Deputado	Corretor de Imóveis	FLAVIO ALVES SABINO
CABUÇU BORGES	PMDB	AP	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	380	Brasília - DF - CEP 70160-900	3215-5380	3215-2380	03	06	dep.cabucuborges@camara.leg.br	CABUCU BORGES	Exmo. Senhor Deputado	Comunicador de Rádio,economista	LUIZ GIONILSON PINHEIRO BORGES
CACÁ LEÃO	PP	BA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	320	Brasília - DF - CEP 70160-900	3215-5320	3215-2320	11	03	dep.cacaleao@camara.leg.br	CACA LEAO	Exmo. Senhor Deputado	Administrador	CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO
CAETANO	PT	BA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	415	Brasília - DF - CEP 70160-900	3215-5415	3215-2415	09	23	dep.caetano@camara.leg.br	CAETANO	Exmo. Senhor Deputado	Farmacêutico Bioquímico	LUIZ CARLOS CAETANO
CAIO NARCIO	PSDB	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	431	Brasília - DF - CEP 70160-900	3215-5431	3215-2431	08	21	dep.caionarcio@camara.leg.br	CAIO NARCIO	Exmo. Senhor Deputado		CAIO NARCIO RODRIGUES DA SILVEIRA
CAPITÃO AUGUSTO	PR	SP	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	273	Brasília - DF - CEP 70160-900	3215-5273	3215-2273	10	04	dep.capitaoaugusto@camara.leg.br	CAPITAO AUGUSTO	Exmo. Senhor Deputado	Policial Militar	JOSE AUGUSTO ROSA
CARLOS ANDRADE	PHS	RR	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	758	Brasília - DF - CEP 70160-900	3215-5758	3215-2758	09	26	dep.carlosandrade@camara.leg.br	CARLOS ANDRADE	Exmo. Senhor Deputado	Administrador,eletricitário	CARLOS AUGUSTO ANDRADE SILVA
CARLOS BEZERRA	PMDB	MT	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	815	Brasília - DF - CEP 70160-900	3215-5815	3215-2815	11	04	dep.carlosbezerra@camara.leg.br	CARLOS BEZERRA	Exmo. Senhor Deputado	Industrial, Advogado e Professor	CARLOS GOMES BEZERRA
